,gt_value,date,region,date_obtained,term_topic
195,0.0,2007-12-01,CH-AG,2021-03-27.xlsx,meth
196,0.0,2008-01-01,CH-AG,2021-03-27.xlsx,meth
197,0.0,2008-02-01,CH-AG,2021-03-27.xlsx,meth
198,0.0,2008-03-01,CH-AG,2021-03-27.xlsx,meth
199,0.0,2008-04-01,CH-AG,2021-03-27.xlsx,meth
200,0.0,2008-05-01,CH-AG,2021-03-27.xlsx,meth
201,0.0,2008-06-01,CH-AG,2021-03-27.xlsx,meth
202,0.0,2008-07-01,CH-AG,2021-03-27.xlsx,meth
203,0.0,2008-08-01,CH-AG,2021-03-27.xlsx,meth
204,0.0,2008-09-01,CH-AG,2021-03-27.xlsx,meth
205,0.0,2008-10-01,CH-AG,2021-03-27.xlsx,meth
206,0.0,2008-11-01,CH-AG,2021-03-27.xlsx,meth
207,0.0,2008-12-01,CH-AG,2021-03-27.xlsx,meth
208,0.0,2009-01-01,CH-AG,2021-03-27.xlsx,meth
209,0.0,2009-02-01,CH-AG,2021-03-27.xlsx,meth
210,0.0,2009-03-01,CH-AG,2021-03-27.xlsx,meth
211,0.0,2009-04-01,CH-AG,2021-03-27.xlsx,meth
212,0.0,2009-05-01,CH-AG,2021-03-27.xlsx,meth
213,0.0,2009-06-01,CH-AG,2021-03-27.xlsx,meth
214,0.0,2009-07-01,CH-AG,2021-03-27.xlsx,meth
215,0.0,2009-08-01,CH-AG,2021-03-27.xlsx,meth
216,0.0,2009-09-01,CH-AG,2021-03-27.xlsx,meth
217,0.0,2009-10-01,CH-AG,2021-03-27.xlsx,meth
218,0.0,2009-11-01,CH-AG,2021-03-27.xlsx,meth
219,0.0,2009-12-01,CH-AG,2021-03-27.xlsx,meth
220,0.0,2010-01-01,CH-AG,2021-03-27.xlsx,meth
221,0.0,2010-02-01,CH-AG,2021-03-27.xlsx,meth
222,0.0,2010-03-01,CH-AG,2021-03-27.xlsx,meth
223,0.0,2010-04-01,CH-AG,2021-03-27.xlsx,meth
224,0.0,2010-05-01,CH-AG,2021-03-27.xlsx,meth
225,0.0,2010-06-01,CH-AG,2021-03-27.xlsx,meth
226,0.0,2010-07-01,CH-AG,2021-03-27.xlsx,meth
227,0.0,2010-08-01,CH-AG,2021-03-27.xlsx,meth
228,0.0,2010-09-01,CH-AG,2021-03-27.xlsx,meth
229,100.0,2010-10-01,CH-AG,2021-03-27.xlsx,meth
230,0.0,2010-11-01,CH-AG,2021-03-27.xlsx,meth
231,0.0,2010-12-01,CH-AG,2021-03-27.xlsx,meth
232,0.0,2011-01-01,CH-AG,2021-03-27.xlsx,meth
233,14.0,2011-02-01,CH-AG,2021-03-27.xlsx,meth
234,24.0,2011-03-01,CH-AG,2021-03-27.xlsx,meth
235,0.0,2011-04-01,CH-AG,2021-03-27.xlsx,meth
236,14.0,2011-05-01,CH-AG,2021-03-27.xlsx,meth
237,0.0,2011-06-01,CH-AG,2021-03-27.xlsx,meth
238,20.0,2011-07-01,CH-AG,2021-03-27.xlsx,meth
239,0.0,2011-08-01,CH-AG,2021-03-27.xlsx,meth
240,0.0,2011-09-01,CH-AG,2021-03-27.xlsx,meth
241,0.0,2011-10-01,CH-AG,2021-03-27.xlsx,meth
242,0.0,2011-11-01,CH-AG,2021-03-27.xlsx,meth
243,0.0,2011-12-01,CH-AG,2021-03-27.xlsx,meth
244,0.0,2012-01-01,CH-AG,2021-03-27.xlsx,meth
245,0.0,2012-02-01,CH-AG,2021-03-27.xlsx,meth
246,15.0,2012-03-01,CH-AG,2021-03-27.xlsx,meth
247,15.0,2012-04-01,CH-AG,2021-03-27.xlsx,meth
248,0.0,2012-05-01,CH-AG,2021-03-27.xlsx,meth
249,0.0,2012-06-01,CH-AG,2021-03-27.xlsx,meth
250,0.0,2012-07-01,CH-AG,2021-03-27.xlsx,meth
251,0.0,2012-08-01,CH-AG,2021-03-27.xlsx,meth
252,0.0,2012-09-01,CH-AG,2021-03-27.xlsx,meth
253,14.0,2012-10-01,CH-AG,2021-03-27.xlsx,meth
254,0.0,2012-11-01,CH-AG,2021-03-27.xlsx,meth
255,0.0,2012-12-01,CH-AG,2021-03-27.xlsx,meth
256,13.0,2013-01-01,CH-AG,2021-03-27.xlsx,meth
257,0.0,2013-02-01,CH-AG,2021-03-27.xlsx,meth
258,12.0,2013-03-01,CH-AG,2021-03-27.xlsx,meth
259,11.0,2013-04-01,CH-AG,2021-03-27.xlsx,meth
260,0.0,2013-05-01,CH-AG,2021-03-27.xlsx,meth
261,12.0,2013-06-01,CH-AG,2021-03-27.xlsx,meth
262,0.0,2013-07-01,CH-AG,2021-03-27.xlsx,meth
263,0.0,2013-08-01,CH-AG,2021-03-27.xlsx,meth
264,23.0,2013-09-01,CH-AG,2021-03-27.xlsx,meth
265,0.0,2013-10-01,CH-AG,2021-03-27.xlsx,meth
266,23.0,2013-11-01,CH-AG,2021-03-27.xlsx,meth
267,12.0,2013-12-01,CH-AG,2021-03-27.xlsx,meth
268,21.0,2014-01-01,CH-AG,2021-03-27.xlsx,meth
269,12.0,2014-02-01,CH-AG,2021-03-27.xlsx,meth
270,11.0,2014-03-01,CH-AG,2021-03-27.xlsx,meth
271,22.0,2014-04-01,CH-AG,2021-03-27.xlsx,meth
272,22.0,2014-05-01,CH-AG,2021-03-27.xlsx,meth
273,13.0,2014-06-01,CH-AG,2021-03-27.xlsx,meth
274,14.0,2014-07-01,CH-AG,2021-03-27.xlsx,meth
275,0.0,2014-08-01,CH-AG,2021-03-27.xlsx,meth
276,26.0,2014-09-01,CH-AG,2021-03-27.xlsx,meth
277,0.0,2014-10-01,CH-AG,2021-03-27.xlsx,meth
